tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,bike_route_order
947,29:31.1,45:18.2,523,W 38 St & 8 Ave,40.75466591,-73.99138152,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,41935,Subscriber,1964,1,189
759,02:51.8,15:31.1,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,479,9 Ave & W 45 St,40.76019252,-73.9912551,41935,Subscriber,1997,2,190
331,22:37.0,28:08.5,479,9 Ave & W 45 St,40.76019252,-73.9912551,490,8 Ave & W 33 St,40.751551,-73.993934,41935,Subscriber,1993,1,191
405,35:26.9,42:12.5,490,8 Ave & W 33 St,40.751551,-73.993934,517,Pershing Square South,40.751581,-73.97791,41935,Subscriber,1975,1,192
286,15:52.1,20:38.3,517,Pershing Square South,40.751581,-73.97791,528,2 Ave & E 31 St,40.74290902,-73.97706058,41935,Subscriber,1990,1,193
381,47:32.3,53:53.7,528,2 Ave & E 31 St,40.74290902,-73.97706058,503,E 20 St & Park Ave,40.73827428,-73.98751968,41935,Subscriber,1993,2,194
93,27:25.5,28:59.4,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,35026,Subscriber,1988,1,1
995,55:21.3,11:56.4,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,3755,DeKalb Ave & Franklin Ave,40.69064807,-73.95746179,35026,Subscriber,1983,1,2
942,48:03.1,03:45.5,3755,DeKalb Ave & Franklin Ave,40.69064807,-73.95746179,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,35026,Subscriber,1969,0,3
146,22:18.9,24:45.3,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,35026,Subscriber,1982,1,4
792,58:20.0,11:32.2,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,35026,Subscriber,1994,1,5
1582,20:03.5,46:25.6,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,325,E 19 St & 3 Ave,40.73624527,-73.98473765,35026,Subscriber,1981,1,6
212,06:34.4,10:06.6,325,E 19 St & 3 Ave,40.73624527,-73.98473765,497,E 17 St & Broadway,40.73704984,-73.99009296,35026,Subscriber,1983,1,7
484,22:04.4,30:08.4,497,E 17 St & Broadway,40.73704984,-73.99009296,487,E 20 St & FDR Drive,40.73314259,-73.97573881,35026,Subscriber,1967,2,8
860,00:26.3,14:47.1,487,E 20 St & FDR Drive,40.73314259,-73.97573881,505,6 Ave & W 33 St,40.74901271,-73.98848395,35026,Customer,1983,1,9
955,23:20.6,39:15.9,505,6 Ave & W 33 St,40.74901271,-73.98848395,280,E 10 St & 5 Ave,40.73331967,-73.99510132,35026,Customer,1997,1,10
474,01:45.7,09:40.4,280,E 10 St & 5 Ave,40.73331967,-73.99510132,312,Allen St & Stanton St,40.722055,-73.989111,35026,Subscriber,1956,1,11
495,39:36.4,47:51.9,312,Allen St & Stanton St,40.722055,-73.989111,503,E 20 St & Park Ave,40.73827428,-73.98751968,35026,Subscriber,1994,1,12
598,40:50.4,50:48.6,503,E 20 St & Park Ave,40.73827428,-73.98751968,523,W 38 St & 8 Ave,40.75466591,-73.99138152,35026,Subscriber,1978,1,13
1013,58:48.7,15:42.7,523,W 38 St & 8 Ave,40.75466591,-73.99138152,3457,E 58 St & Madison Ave,40.76302594,-73.97209525,35026,Subscriber,1955,1,14
559,50:10.3,59:29.6,3457,E 58 St & Madison Ave,40.76302594,-73.97209525,3137,5 Ave & E 73 St,40.77282817,-73.96685276,35026,Subscriber,1968,2,15
872,53:03.2,07:35.8,3137,5 Ave & E 73 St,40.77282817,-73.96685276,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,35026,Subscriber,1964,1,16
209,26:26.6,29:56.3,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,3785,W 42 St & 6 Ave,40.75492,-73.98455,35026,Subscriber,1985,1,17
460,30:07.7,37:48.2,3785,W 42 St & 6 Ave,40.75492,-73.98455,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,35026,Subscriber,1981,1,18
548,28:12.0,37:20.8,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,35026,Subscriber,1989,1,19
704,57:29.6,09:14.4,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,507,E 25 St & 2 Ave,40.73912601,-73.97973776,35026,Subscriber,1987,1,20
398,45:16.1,51:54.8,507,E 25 St & 2 Ave,40.73912601,-73.97973776,326,E 11 St & 1 Ave,40.72953837,-73.98426726,35026,Subscriber,1987,2,21
748,44:18.7,56:46.9,326,E 11 St & 1 Ave,40.72953837,-73.98426726,332,Cherry St,40.71219906,-73.97948148,35026,Subscriber,1992,1,22
1634,13:18.8,40:33.1,332,Cherry St,40.71219906,-73.97948148,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,35026,Subscriber,1970,2,23
482,58:25.3,06:28.0,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,3812,University Pl & E 14 St,40.734814,-73.992085,35026,Subscriber,1959,2,24
320,15:20.7,20:41.1,3812,University Pl & E 14 St,40.734814,-73.992085,326,E 11 St & 1 Ave,40.72953837,-73.98426726,35026,Subscriber,1973,1,25
360,54:07.0,00:07.2,326,E 11 St & 1 Ave,40.72953837,-73.98426726,3708,W 13 St & 5 Ave,40.735445,-73.99431,35026,Subscriber,1993,1,26
1084,26:56.2,45:00.5,3708,W 13 St & 5 Ave,40.735445,-73.99431,3231,E 67 St & Park Ave,40.767800799999996,-73.96592081,35026,Subscriber,1966,1,27
336,31:02.9,36:39.2,3231,E 67 St & Park Ave,40.767800799999996,-73.96592081,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,35026,Subscriber,1990,1,28
365,10:00.7,16:05.8,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,499,Broadway & W 60 St,40.76915505,-73.98191841,35026,Subscriber,1988,1,29
1487,22:31.2,47:19.1,499,Broadway & W 60 St,40.76915505,-73.98191841,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,35026,Customer,1998,1,30
